beta,method,dimension,seeds,horizon,drift,noise_std,gamma,mean_tail_tracking_error,mean_final_tracking_error,sem_final_tracking_error
0.5,sgd,100,20,5000,0.01,0.02,0.008,0.0024565918367532988,0.0024813256615512564,7.53556636492807e-05
0.5,hb,100,20,5000,0.01,0.02,0.0005,0.019947157298326166,0.02060041697642142,0.0006711976491990369
0.5,nag,100,20,5000,0.01,0.02,0.0005,0.019971841746970788,0.02062668357478182,0.0006718349085900358
0.9,sgd,100,20,5000,0.01,0.02,0.008,0.0024078671750181703,0.0025332179920307405,9.252098614864374e-05
0.9,hb,100,20,5000,0.01,0.02,1.999999999999999e-05,0.08501297040221328,0.08814848939233615,0.003409200963078901
0.9,nag,100,20,5000,0.01,0.02,1.999999999999999e-05,0.085048294190533,0.08818853078530582,0.0034100981260980347
0.95,sgd,100,20,5000,0.01,0.02,0.008,0.0024490220964022346,0.002317753744136291,8.410729002252969e-05
0.95,hb,100,20,5000,0.01,0.02,5.000000000000009e-06,0.1485233365066475,0.16675620140288122,0.007367747810260769
0.95,nag,100,20,5000,0.01,0.02,5.000000000000009e-06,0.14855260662190803,0.16679056887402174,0.007368358183011085
0.98,sgd,100,20,5000,0.01,0.02,0.008,0.002417384111185495,0.002322085627070946,7.098915382857399e-05
0.98,hb,100,20,5000,0.01,0.02,8.000000000000016e-07,0.23096142809639245,0.27899653420821624,0.006133656799082477
0.98,nag,100,20,5000,0.01,0.02,8.000000000000016e-07,0.2309762216722543,0.27901625754256354,0.006134129229007028
