beta,method,seed,dimension,horizon,mu,smoothness,condition_number,drift_step_norm,noise_std,gamma,stability_cap,gamma_within_cap,tail_squared_tracking_error,final_squared_tracking_error
0.5,sgd,0,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.002456634488113521,0.0022897158460920314
0.5,sgd,1,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0024161240009207647,0.002355260289790868
0.5,sgd,2,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.002580803182040039,0.0026135352332401192
0.5,sgd,3,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.002442261465330721,0.002843312669602671
0.5,sgd,4,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0024796315580247986,0.0026282570062327627
0.5,sgd,5,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.002530305779530165,0.002221358661335588
0.5,sgd,6,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0023061840090959533,0.002047095207194317
0.5,sgd,7,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0023421022896269504,0.003015474724123405
0.5,sgd,8,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0023714050625023996,0.0027496248597640334
0.5,sgd,9,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.002417878083406906,0.0024295558616166508
0.5,sgd,10,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.002395691610084891,0.0020014255273763434
0.5,sgd,11,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0025591942602599034,0.0026582845087468553
0.5,sgd,12,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0024977298573546666,0.0023336258504629854
0.5,sgd,13,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0024105945005666396,0.0022992111365116715
0.5,sgd,14,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0025079957655213983,0.001997636584240047
0.5,sgd,15,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.002420993082252931,0.0026977087532166306
0.5,sgd,16,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0025149459536100848,0.0031394923057192826
