scenario,method,kappa,drift_step_norm,beta,gamma,mean_tail_squared_tracking_error,sem_tail_squared_tracking_error
beta_sweep,hb,10.0,0.01,0.0,0.1,0.006772291310826346,1.313352842496121e-05
beta_sweep,hb,10.0,0.01,0.5,0.1,0.012676206836175258,1.979184213075638e-05
beta_sweep,hb,10.0,0.01,0.9,0.1,0.1037757123951879,0.0006688608592093037
beta_sweep,hb,10.0,0.01,0.95,0.1,1.6739172874414154,0.13527207433487898
beta_sweep,hb,10.0,0.01,0.98,0.1,6.215151377412842e+54,5.324952050103435e+54
beta_sweep,nag,10.0,0.01,0.0,0.1,0.006794466810605362,1.329190902168534e-05
beta_sweep,nag,10.0,0.01,0.5,0.1,0.009900027133945773,1.8114749161528487e-05
beta_sweep,nag,10.0,0.01,0.9,0.1,0.01987158065857266,5.329758352417237e-05
beta_sweep,nag,10.0,0.01,0.95,0.1,0.02347314684273042,5.767660345460985e-05
beta_sweep,nag,10.0,0.01,0.98,0.1,0.026682801149007496,7.357871543997441e-05
beta_sweep,sgd,10.0,0.01,0.0,0.1,0.00677481290395736,5.138536413614718e-06
drift_sweep,hb,10.0,0.0,0.9,0.1,0.1030753885975401,0.0006451786030377779
drift_sweep,hb,10.0,0.003,0.9,0.1,0.10256105040965871,0.0005829994543743325
drift_sweep,hb,10.0,0.01,0.9,0.1,0.10406195260522048,0.0007382079563717082
drift_sweep,hb,10.0,0.03,0.9,0.1,0.10960242849084063,0.0006993469744708272
drift_sweep,hb,10.0,0.1,0.9,0.1,0.1969524000024357,0.000923389726997221
drift_sweep,nag,10.0,0.0,0.9,0.1,0.019774263257526428,3.7439391214750216e-05
drift_sweep,nag,10.0,0.003,0.9,0.1,0.019837316042601836,4.7929781922021585e-05
drift_sweep,nag,10.0,0.01,0.9,0.1,0.019977619659553785,2.9127544163175228e-05
drift_sweep,nag,10.0,0.03,0.9,0.1,0.02082746680875499,3.832334499300612e-05
drift_sweep,nag,10.0,0.1,0.9,0.1,0.03152907571074194,7.888123608501911e-05
drift_sweep,sgd,10.0,0.0,0.0,0.1,0.006642743176248629,1.1203040494506326e-05
drift_sweep,sgd,10.0,0.003,0.0,0.1,0.006646244937099808,1.195202840663447e-05
drift_sweep,sgd,10.0,0.01,0.0,0.1,0.006779291616054517,9.919058830507697e-06
drift_sweep,sgd,10.0,0.03,0.0,0.1,0.007880703646068344,1.2878450024874132e-05
drift_sweep,sgd,10.0,0.1,0.0,0.1,0.02041489785799613,5.0683464948851056e-05
kappa_sweep,hb,10.0,0.01,0.9,0.1,0.10451370489104853,0.0006821161158936251
kappa_sweep,hb,30.0,0.01,0.9,0.03333333333333333,0.02758256577310773,0.00015811003417668182
kappa_sweep,hb,100.0,0.01,0.9,0.01,0.007778764801368511,3.4377297935160314e-05
kappa_sweep,hb,300.0,0.01,0.9,0.0033333333333333335,0.003002385661602236,1.2736090935353555e-05
kappa_sweep,hb,1000.0,0.01,0.9,0.001,0.001869845155090506,9.400938145315706e-06
kappa_sweep,nag,10.0,0.01,0.9,0.1,0.019891367873282283,5.2038620959768657e-05
kappa_sweep,nag,30.0,0.01,0.9,0.03333333333333333,0.008577980399593699,1.7771436996593083e-05
kappa_sweep,nag,100.0,0.01,0.9,0.01,0.0033768800581114354,1.0038996693068162e-05
kappa_sweep,nag,300.0,0.01,0.9,0.0033333333333333335,0.0016517022002383044,8.606259100124282e-06
kappa_sweep,nag,1000.0,0.01,0.9,0.001,0.0013785784991903823,1.31585992048145e-05
kappa_sweep,sgd,10.0,0.01,0.0,0.1,0.00676817390113277,1.2757929181588554e-05
kappa_sweep,sgd,30.0,0.01,0.0,0.03333333333333333,0.002421784066883515,6.196669099931286e-06
kappa_sweep,sgd,100.0,0.01,0.0,0.01,0.001621959292263472,1.319584691045727e-05
kappa_sweep,sgd,300.0,0.01,0.0,0.0033333333333333335,0.0028686922308101296,5.663847720061456e-05
kappa_sweep,sgd,1000.0,0.01,0.0,0.001,0.007840849489373653,0.00030668261961943477
