scenario,method,seed,dimension,horizon,batch_size,kappa,drift_step_norm,beta,gamma,label_noise_variance,tail_squared_tracking_error,final_squared_tracking_error,oracle
kappa_sweep,sgd,0,50,5000,256,10.0,0.01,0.0,0.1,0.5,0.006846938339673213,0.0055261759417374835,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,1,50,5000,256,10.0,0.01,0.0,0.1,0.5,0.006798738735488639,0.005698533277118176,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,2,50,5000,256,10.0,0.01,0.0,0.1,0.5,0.006795665160517926,0.006311461482062243,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,3,50,5000,256,10.0,0.01,0.0,0.1,0.5,0.006780680049097159,0.007748058429788737,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,4,50,5000,256,10.0,0.01,0.0,0.1,0.5,0.006768350704399554,0.006761444938009507,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,5,50,5000,256,10.0,0.01,0.0,0.1,0.5,0.006797876569793452,0.005369327638228468,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,6,50,5000,256,10.0,0.01,0.0,0.1,0.5,0.006672082677891792,0.010240836852502226,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,7,50,5000,256,10.0,0.01,0.0,0.1,0.5,0.006807546286155497,0.005496675275990708,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,8,50,5000,256,10.0,0.01,0.0,0.1,0.5,0.0067440036657690355,0.00635995828444979,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,9,50,5000,256,10.0,0.01,0.0,0.1,0.5,0.006745528188986009,0.0060804667645800135,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,10,50,5000,256,10.0,0.01,0.0,0.1,0.5,0.006798434473873853,0.006594837386258809,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,11,50,5000,256,10.0,0.01,0.0,0.1,0.5,0.006781262176347502,0.006239826751285555,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,12,50,5000,256,10.0,0.01,0.0,0.1,0.5,0.006706122204530741,0.005654827124090563,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,13,50,5000,256,10.0,0.01,0.0,0.1,0.5,0.006751961228111315,0.005968031392771374,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,14,50,5000,256,10.0,0.01,0.0,0.1,0.5,0.00674317946876302,0.0072615066062761795,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,15,50,5000,256,10.0,0.01,0.0,0.1,0.5,0.006742035575757601,0.007035865111476556,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,16,50,5000,256,10.0,0.01,0.0,0.1,0.5,0.006760331124327574,0.007709270544950558,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,17,50,5000,256,10.0,0.01,0.0,0.1,0.5,0.006708144199111652,0.008095614669735242,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,18,50,5000,256,10.0,0.01,0.0,0.1,0.5,0.006925202396404716,0.007299393806662615,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,19,50,5000,256,10.0,0.01,0.0,0.1,0.5,0.006689394797655133,0.0064038470184501145,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,0,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.10805499131423532,0.13358950327005645,Gaussian with exact least-squares mini-batch mean/covariance
