kappa,gamma,method,mode,eigenvalue,spectral_radius,stationary_squared_tracking_error,lyapunov_max_abs_residual
10.0,0.1,sgd,0,1.0,0.9,0.00011132236842105269,0.0
10.0,0.1,sgd,1,1.0481131341546857,0.8951886865845314,0.00011112562756660234,1.3552527156068805e-20
10.0,0.1,sgd,2,1.0985411419875581,0.8901458858012442,0.00011096401254727424,6.776263578034403e-21
10.0,0.1,sgd,3,1.1513953993264474,0.8848604600673553,0.00011083738609882398,6.776263578034403e-21
10.0,0.1,sgd,4,1.2067926406393286,0.8793207359360671,0.00011074571253616059,3.3881317890172014e-21
10.0,0.1,sgd,5,1.264855216855296,0.8735144783144704,0.00011068906051463032,6.776263578034403e-21
10.0,0.1,sgd,6,1.3257113655901092,0.867428863440989,0.0001106676063788696,6.776263578034403e-21
10.0,0.1,sgd,7,1.3894954943731377,0.8610504505626863,0.00011068163815581607,6.776263578034403e-21
10.0,0.1,sgd,8,1.4563484775012439,0.8543651522498756,0.00011073156025740349,0.0
10.0,0.1,sgd,9,1.5264179671752334,0.8473582032824767,0.00011081789896884589,0.0
10.0,0.1,sgd,10,1.599858719606058,0.8400141280393942,0.00011094130881048255,6.776263578034403e-21
10.0,0.1,sgd,11,1.676832936811008,0.8323167063188992,0.00011110257987525051,6.776263578034403e-21
10.0,0.1,sgd,12,1.7575106248547918,0.8242489375145208,0.00011130264626035522,0.0
10.0,0.1,sgd,13,1.842069969326716,0.8157930030673284,0.00011154259573110774,0.0
10.0,0.1,sgd,14,1.93069772888325,0.806930227111675,0.00011182368077776979,0.0
10.0,0.1,sgd,15,2.023589647725157,0.7976410352274843,0.00011214733125330604,0.0
10.0,0.1,sgd,16,2.120950887920191,0.7879049112079809,0.00011251516881207214,0.0
10.0,0.1,sgd,17,2.2229964825261948,0.7777003517473805,0.00011292902340774933,0.0
10.0,0.1,sgd,18,2.329951810515372,0.7670048189484628,0.00011339095215461581,6.776263578034403e-21
10.0,0.1,sgd,19,2.442053094548651,0.7557946905451349,0.00011390326091120483,1.3552527156068805e-20
10.0,0.1,sgd,20,2.5595479226995357,0.7440452077300463,0.00011446852901163459,0.0
10.0,0.1,sgd,21,2.6826957952797255,0.7317304204720274,0.00011508963765004507,6.776263578034403e-21
10.0,0.1,sgd,22,2.8117686979742302,0.7188231302025769,0.0001157698025209777,0.0
10.0,0.1,sgd,23,2.9470517025518106,0.7052948297448189,0.00011651261143742097,6.776263578034403e-21
10.0,0.1,sgd,24,3.088843596477481,0.6911156403522518,0.00011732206779401784,0.0
10.0,0.1,sgd,25,3.237457542817644,0.6762542457182356,0.00011820264092254166,0.0
10.0,0.1,sgd,26,3.393221771895328,0.6606778228104672,0.00011915932460914625,0.0
10.0,0.1,sgd,27,3.5564803062231287,0.6443519693776871,0.00012019770531973983,0.0
10.0,0.1,sgd,28,3.72759372031494,0.627240627968506,0.00012132404202634217,0.0
10.0,0.1,sgd,29,3.906939937054617,0.6093060062945383,0.00012254535996351445,0.0
10.0,0.1,sgd,30,4.094915062380425,0.5905084937619576,0.0001238695611964834,1.3552527156068805e-20
10.0,0.1,sgd,31,4.2919342601287775,0.5708065739871222,0.0001253055555869288,0.0
10.0,0.1,sgd,32,4.498432668969445,0.5501567331030555,0.00012686341664638136,0.0
10.0,0.1,sgd,33,4.714866363457394,0.5285133636542606,0.00012855456793570976,0.0
10.0,0.1,sgd,34,4.941713361323834,0.5058286638676166,0.00013039200719118255,0.0
10.0,0.1,sgd,35,5.17947467923121,0.48205253207687904,0.00013239057735602228,0.0
10.0,0.1,sgd,36,5.428675439323859,0.4571324560676141,0.00013456729634290677,0.0
10.0,0.1,sgd,37,5.689866029018296,0.43101339709817044,0.00013694176088979663,0.0
10.0,0.1,sgd,38,5.963623316594643,0.4036376683405357,0.00013953664464455207,0.0
10.0,0.1,sgd,39,6.250551925273971,0.37494480747260284,0.00014237831712249853,0.0
10.0,0.1,sgd,40,6.551285568595508,0.34487144314044915,0.00014549761915617877,2.710505431213761e-20
10.0,0.1,sgd,41,6.866488450043,0.3133511549957,0.00014893084298208997,0.0
10.0,0.1,sgd,42,7.196856730011519,0.28031432699884806,0.00015272098281762374,0.0
10.0,0.1,sgd,43,7.543120063354617,0.2456879936645383,0.00015691934717040516,2.710505431213761e-20
10.0,0.1,sgd,44,7.906043210907698,0.20939567890923017,0.0001615876610805713,2.710505431213761e-20
10.0,0.1,sgd,45,8.286427728546842,0.17135722714531576,0.0001668008411944081,0.0
10.0,0.1,sgd,46,8.685113737513525,0.13148862624864743,0.00017265070899901954,0.0
10.0,0.1,sgd,47,9.102981779915218,0.0897018220084781,0.00017925103426911444,2.710505431213761e-20
10.0,0.1,sgd,48,9.54095476349994,0.04590452365000597,0.00018674449990845323,0.0
10.0,0.1,sgd,49,10.0,0.0,0.0001953125,0.0
10.0,0.1,hb,0,1.0,0.9486832980505139,0.0010117128378378387,6.776263578034403e-20
10.0,0.1,hb,1,1.0481131341546857,0.948683298050514,0.0010129855341424483,2.168404344971009e-19
10.0,0.1,hb,2,1.0985411419875581,0.9486832980505138,0.0010143274702788733,7.453889935837843e-20
