gamma,beta,noise_variance,method,seeds,dimension,horizon,drift,mean_final_error,std_final_error,sem_final_error
0.01,0.5,0.1,sgd,20,100,5000,0.01,0.05206773522763645,0.008632366022053526,0.0019302557231971132
0.01,0.5,0.1,hb,20,100,5000,0.01,0.10108907990158984,0.013185451032071095,0.0029483564821705726
0.01,0.5,0.1,nag,20,100,5000,0.01,0.10095810145151521,0.014953012114128895,0.003343595155557005
0.01,0.5,0.5,sgd,20,100,5000,0.01,0.2441014789535232,0.03472954486792509,0.0077657623152309445
0.01,0.5,0.5,hb,20,100,5000,0.01,0.4920439068939954,0.06457890149317155,0.014440281365099426
0.01,0.5,0.5,nag,20,100,5000,0.01,0.48860776333131567,0.06614837959444213,0.014791227337463256
0.01,0.5,0.8,sgd,20,100,5000,0.01,0.4091543994243068,0.050981751733340276,0.011399866248776659
0.01,0.5,0.8,hb,20,100,5000,0.01,0.7806744237032783,0.0915174553453729,0.020463925128005527
0.01,0.5,0.8,nag,20,100,5000,0.01,0.782899320232147,0.11009653733940047,0.02461833415782433
0.01,0.9,0.1,sgd,20,100,5000,0.01,0.052635155625427185,0.00933982327336782,0.0020884479737085047
0.01,0.9,0.1,hb,20,100,5000,0.01,0.4999618853732746,0.07384542522908692,0.016512339063961632
0.01,0.9,0.1,nag,20,100,5000,0.01,0.4708269218540432,0.051287549542560706,0.011468244717655398
0.01,0.9,0.5,sgd,20,100,5000,0.01,0.25276899994208857,0.04526291585618392,0.010121095671428035
0.01,0.9,0.5,hb,20,100,5000,0.01,2.510177412822023,0.37125507204666847,0.08301515780879326
0.01,0.9,0.5,nag,20,100,5000,0.01,2.400095709250233,0.24998222062837683,0.055897723849140074
0.01,0.9,0.8,sgd,20,100,5000,0.01,0.40876813919449023,0.07466687450229663,0.016696020705458104
0.01,0.9,0.8,hb,20,100,5000,0.01,3.986322046067282,0.5291447382349295,0.11832036046296343
0.01,0.9,0.8,nag,20,100,5000,0.01,3.759660530122088,0.5208608538211368,0.11646802759626429
0.01,0.95,0.1,sgd,20,100,5000,0.01,0.05466084449490568,0.00779669678063466,0.0017433944001452864
0.01,0.95,0.1,hb,20,100,5000,0.01,1.0617836668034637,0.12919814803737462,0.028889584157865068
0.01,0.95,0.1,nag,20,100,5000,0.01,0.8662974866426417,0.13378997471118267,0.029916347816218224
0.01,0.95,0.5,sgd,20,100,5000,0.01,0.2509989099015562,0.03740729016446454,0.0083645243661802
0.01,0.95,0.5,hb,20,100,5000,0.01,5.267513318544015,0.7470242343463793,0.16703969688382372
0.01,0.95,0.5,nag,20,100,5000,0.01,4.335809733492821,0.6348080906218072,0.14194740432972075
0.01,0.95,0.8,sgd,20,100,5000,0.01,0.40094817732297844,0.06424715124821039,0.014366099755170888
0.01,0.95,0.8,hb,20,100,5000,0.01,8.300355485181727,1.252665633326305,0.2801045509195444
0.01,0.95,0.8,nag,20,100,5000,0.01,6.857836798341529,0.9205943425277622,0.20585115295938017
0.01,0.99,0.1,sgd,20,100,5000,0.01,0.05629675713684694,0.00783709732177979,0.0017524282357781152
0.01,0.99,0.1,hb,20,100,5000,0.01,5.021683858729499,0.6492406400419158,0.14517462048891958
0.01,0.99,0.1,nag,20,100,5000,0.01,2.4849838649722784,0.4190045924119443,0.09369227515177
0.01,0.99,0.5,sgd,20,100,5000,0.01,0.2614815714748512,0.04381492217098596,0.009797314440318727
0.01,0.99,0.5,hb,20,100,5000,0.01,25.018293339447055,3.237940496763589,0.7240255057862822
0.01,0.99,0.5,nag,20,100,5000,0.01,12.198754833514638,1.8976509408630842,0.42432765013362894
0.01,0.99,0.8,sgd,20,100,5000,0.01,0.4103879967478371,0.06544315145884201,0.014633533532378526
0.01,0.99,0.8,hb,20,100,5000,0.01,40.20118471596519,5.736321183883084,1.2826804107934646
0.01,0.99,0.8,nag,20,100,5000,0.01,18.845063317645064,2.8914077357182,0.6465384247734642
0.05,0.5,0.1,sgd,20,100,5000,0.01,0.26172740486716484,0.042238952196615435,0.009444916840999617
0.05,0.5,0.1,hb,20,100,5000,0.01,0.46074888775698064,0.06826109895537849,0.015263645748306617
0.05,0.5,0.1,nag,20,100,5000,0.01,0.4768124238387267,0.065106554031117,0.014558268059434056
0.05,0.5,0.5,sgd,20,100,5000,0.01,1.3215345286895872,0.1950194002198714,0.04360766358228699
0.05,0.5,0.5,hb,20,100,5000,0.01,2.3866508973090896,0.37862286056554684,0.08466264540599872
0.05,0.5,0.5,nag,20,100,5000,0.01,2.403713890894821,0.3144648356377601,0.070316474901933
0.05,0.5,0.8,sgd,20,100,5000,0.01,2.1415565258667164,0.30943863319872483,0.06919258186969719
0.05,0.5,0.8,hb,20,100,5000,0.01,3.8402773495438765,0.5886672342119902,0.13162999518247998
0.05,0.5,0.8,nag,20,100,5000,0.01,3.8117638949180046,0.5153806215096903,0.11524261039817578
0.05,0.9,0.1,sgd,20,100,5000,0.01,0.2494264241546454,0.02380435748739083,0.005322816150251199
0.05,0.9,0.1,hb,20,100,5000,0.01,2.571101778547013,0.34191714493922815,0.07645499787567624
0.05,0.9,0.1,nag,20,100,5000,0.01,1.756097873505584,0.24091885849453173,0.05387109446554256
0.05,0.9,0.5,sgd,20,100,5000,0.01,1.2367244052954647,0.11063600191690284,0.02473896210449918
0.05,0.9,0.5,hb,20,100,5000,0.01,13.162035483222473,1.9319475103180528,0.4319965962032642
0.05,0.9,0.5,nag,20,100,5000,0.01,8.752939116461175,1.153591423573566,0.2579508841371247
0.05,0.9,0.8,sgd,20,100,5000,0.01,2.0082647503290456,0.182480898945278,0.04080396946369112
0.05,0.9,0.8,hb,20,100,5000,0.01,20.823906138951028,3.3140062899627947,0.7410343342218687
0.05,0.9,0.8,nag,20,100,5000,0.01,13.638780624519239,1.8643609319931405,0.41688377785315245
0.05,0.95,0.1,sgd,20,100,5000,0.01,0.2617555854716345,0.039386761234155826,0.008807147553312593
0.05,0.95,0.1,hb,20,100,5000,0.01,4.955515422250626,0.7699440698796969,0.17216472791238505
0.05,0.95,0.1,nag,20,100,5000,0.01,2.5395773774401453,0.2886862328546679,0.06455220408313705
0.05,0.95,0.5,sgd,20,100,5000,0.01,1.3240764927250765,0.18884804404251634,0.04222770638969407
0.05,0.95,0.5,hb,20,100,5000,0.01,24.919376931818807,4.015967521791903,0.8979976374158063
0.05,0.95,0.5,nag,20,100,5000,0.01,12.926129118831245,1.570734652828111,0.3512269458338188
0.05,0.95,0.8,sgd,20,100,5000,0.01,2.1314493748477643,0.29204064237333993,0.06530227285394936
0.05,0.95,0.8,hb,20,100,5000,0.01,39.362048693094856,6.621553868290217,1.4806244566173614
0.05,0.95,0.8,nag,20,100,5000,0.01,20.86079625113075,2.433302352461761,0.544102946991465
0.05,0.99,0.1,sgd,20,100,5000,0.01,0.25193737094261803,0.04742214532559516,0.010603914058690466
0.05,0.99,0.1,hb,20,100,5000,0.01,25.498128299762218,4.437691447280518,0.9922979739288661
0.05,0.99,0.1,nag,20,100,5000,0.01,4.23090308832497,0.5052137012251723,0.1129692179103754
0.05,0.99,0.5,sgd,20,100,5000,0.01,1.245396488818187,0.21249200214772457,0.04751465614773434
0.05,0.99,0.5,hb,20,100,5000,0.01,128.1057487050884,19.149527492181377,4.281964520951863
0.05,0.99,0.5,nag,20,100,5000,0.01,20.55408313069787,2.371383241222306,0.5302574128076857
0.05,0.99,0.8,sgd,20,100,5000,0.01,1.9645833556651282,0.3380074618060487,0.07558076615004887
0.05,0.99,0.8,hb,20,100,5000,0.01,204.22907798760622,29.811761904841383,6.666112614826394
0.05,0.99,0.8,nag,20,100,5000,0.01,33.902574468849096,4.606706012868986,1.0300907797132073
0.1,0.5,0.1,sgd,20,100,5000,0.01,0.5401307245177944,0.06805551517389612,0.015217675817260013
0.1,0.5,0.1,hb,20,100,5000,0.01,1.0278329454622561,0.12374594887107375,0.027670435361593426
0.1,0.5,0.1,nag,20,100,5000,0.01,0.9925191601263327,0.18683219945546067,0.041776949836820926
0.1,0.5,0.5,sgd,20,100,5000,0.01,2.6596500141007935,0.3913377463182861,0.08750578029292558
0.1,0.5,0.5,hb,20,100,5000,0.01,5.116447382184036,0.639907083218764,0.1430875737360771
