beta,method,mean_tail_squared_tracking_error,sem_tail_squared_tracking_error
0.5,sgd,0.002456591836753302,1.995145572930532e-05
0.5,hb,0.020733458874780914,0.00039205451307137583
0.5,nag,0.019323242554821346,0.0003356791443792771
0.9,sgd,0.002407867175018172,1.7188802138648715e-05
0.9,hb,0.08778866082616744,0.00197577761119606
0.9,nag,0.0976135781735426,0.0034293158774142862
0.95,sgd,0.002449022096402233,1.9477678689338585e-05
0.95,hb,0.150857922194759,0.005430750254006866
0.95,nag,0.14277205113460456,0.0024488262125542987
0.98,sgd,0.002417384111185494,1.6076386409044834e-05
0.98,hb,0.23648238286330875,0.00733156412202224
0.98,nag,0.2318771222121046,0.00603663824757002
